Trchildnum,relaxation_and_leisure,working,caring_for_children,traveling,number_of_respondents
0,344.8372224,142.2668983,2.136884361,65.42414354,127794
1,254.3363476,181.6190166,52.77093733,75.10697147,41469
2,228.1417473,181.6226243,79.35865683,77.59624058,38357
3,221.4039502,170.7348485,89.97666396,77.4276921,14784
4,220.4552494,153.3217946,96.18036894,74.72580278,4391
5,220.7276018,139.5638009,91.08868778,75.11040724,1105
6,241.7431694,118.1584699,124.6311475,67.68852459,366
7,213.1583333,125.1333333,107.0916667,76.68333333,120
8,222.7906977,127.6976744,111.7906977,44.93023256,43
9,214.4375,71.375,125.4375,32.625,16
10,207.75,205,158,88,4
11,188,126.6666667,132.3333333,85,3
12,86,541.6666667,20,16.66666667,3
